score 	 sentence_1 	 sentence_2
4.000 	 remove the pod, husk or shell	fall out of the pod or husk. 
4.000 	 abstain from eating or from certain foods	abstain from eating. 
4.000 	 feel hot or painful, as if burning	feel hot or painful. 
4.750 	 (cause to) return after being refused	come back after being refused. 
4.250 	 a loss of function	loss of ability to function normally. 
3.500 	 administrator, one who controls resources	someone who controls resources and expenditures. 
3.750 	 a stovetop, cooking appliance	a kitchen appliance used for cooking food. 
4.500 	 rinse one's mouth with mouthwash, gargle	rinse one's mouth and throat with mouthwash. 
4.000 	 a quantity that is an approximate calculation	an approximate calculation of quantity or degree or worth. 
4.000 	 turn on an axis; spin	turn on or around an axis or a center. 
5.000 	 marriage offer	an offer of marriage. 
3.500 	 Try to gain favor by flattering or showing    submission or fear.	show submission or fear. 
4.250 	 the public submission of a legal record	the entering of a legal document into the public record. 
4.000 	 Shrivel, wither, or mature imperfectly, as of a flower.	shrivel or wither or mature imperfectly. 
4.250 	 have faith in, bet on	have faith or confidence in. 
4.250 	 burst into flames (telic)	start to burn or burst into flames. 
4.500 	 The cognitive processes and capacity to remember.	the cognitive processes whereby past experience is remembered. 
4.000 	 mechanism that controls the water level in a section of canal	enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it. 
5.000 	 an onerous worry or concern	an onerous or difficult concern. 
5.000 	 someone or something that is the agent of fulfilling desired expectations	someone (or something) on which expectations are centered. 
3.333 	 a sharp side of an object	a sharp side formed by the intersection of two surfaces of an object. 
2.750 	 the forceful hit of a ball	hitting a golf ball off of a tee with a driver. 
3.500 	 Fine powdery material; the remains of something destroyed or broken up.	the remains of something that has been destroyed or broken up. 
2.000 	 throw with force	utter with force; utter vehemently. 
4.000 	 Treat a substance with some agent; add an    agent to.	treat with an agent; add (an agent) to. 
3.500 	 pass through the esophagus	pass through the esophagus as part of eating or drinking. 
4.750 	 move freely (usually within a bounded space)	cause to move or operate freely within a bounded space. 
3.500 	 secrete or form water	secrete or form water, as tears or saliva. 
4.000 	 the state of being in contact	the state of being connected. 
3.500 	 a variant of a musical theme which employs notes of reduced duration from the original theme	the statement of a theme in notes of lesser duration (usually half the length of the original). 
3.750 	 time to come	the time yet to come. 
4.750 	 the legal state of owing money	the state of owing something (especially money). 
4.500 	 a style and size of typeset	a specific size and style of type within a type family. 
4.000 	 demand, ask for, or take as one's due	demand as being one's due or property; assert one's right or title to. 
3.500 	 Cause to be distrusted or rejected; damage the reputation of.	damage the reputation of. 
3.000 	 Give equal rights to, as of the right to vote.	give equal rights to; of women and minorities. 
3.000 	 (cause to) lengthen or expand in time or some abstract realm	lengthen in time; cause to be or last longer. 
4.750 	 a knapsack, bundle on the back	a bundle (especially one carried on the back). 
4.250 	 a person who delivers information or goods	a person who conveys (carries or transmits). 
4.250 	 having an intuitive understanding or appreciation of something	an intuitive understanding of something. 
5.000 	 adherence to moral principles	adhering to moral principles. 
5.000 	  have sex with	have sexual intercourse with. 
4.750 	 partake or provide a banquet	partake in a feast or banquet. 
4.750 	 idolize/show devotion to	show devotion to (a deity). 
5.000 	 make a ticking sound	make a clicking or ticking sound. 
3.250 	 run or flow slowly	run or flow slowly, as in drops or in an unsteady stream. 
4.500 	 Write a computer programme.	write a computer program. 
5.000 	 a state of social order in conformance with existing law	a state of order in which events conform to the law. 
4.500 	 An electronic storage device.	an electronic memory device. 
4.250 	 a reference line used to align lettering	a light line that is used in lettering to help align the letters. 
3.750 	 the quality of dedication, fixity of purpose	the trait of sincere and steadfast fixity of purpose. 
4.000 	 Look furtively at something.	look furtively. 
3.500 	 cast off, get rid of something	get rid of. 
4.250 	 recover posession or get back again	get or find back; recover the use of. 
4.750 	 a coefficient assigned to elements in a frequency distribution in order to indicate the relative importance of each element	(statistics) a coefficient assigned to elements of a frequency distribution in order to represent their relative importance. 
4.000 	 (cause to) move around	cause to move round and round. 
3.000 	 become due	become due for repayment. 
3.500 	 Provide medical care for.	provide veterinary care for. 
3.750 	 do over, make new	make new. 
4.500 	 coat, cover, or treat the surface of	put a coat on; cover the surface of; furnish with a surface. 
4.000 	 BASEBALL: strike out a batter	strike out (a batter), (of a pitcher). 
3.250 	 Regain or make up for, as of a financial loss.	regain or make up for. 
4.750 	 duplicate, match	duplicate or match. 
4.250 	 indistinct vocal articulations	indistinct articulation. 
4.000 	 the act of shoving something away	the act of applying force in order to move something away. 
5.000 	 move or drive forcefully as if by a punch.	drive forcibly as if by a punch. 
